icd,description,mi,heartfailure
I612,"Intracerebral haemorrhage in hemisphere, unspecified",0,0
I613,Intracerebral haemorrhage in brain stem,0,0
I614,Intracerebral haemorrhage in cerebellum,0,0
I615,"Intracerebral haemorrhage, intraventricular",0,0
I616,"Intracerebral haemorrhage, multiple localized",0,0
I618,Other intracerebral haemorrhage,0,0
I619,"Intracerebral haemorrhage, unspecified",0,0
I62,Other nontraumatic intracranial haemorrhage,0,0
I620,Subdural haemorrhage (acute)(nontraumatic),0,0
I621,Nontraumatic extradural haemorrhage,0,0
I629,"Intracranial haemorrhage (nontraumatic), unspecified",0,0
I63,Cerebral infarction,0,0
I630,Cerebral infarction due to thrombosis of precerebral arteries,0,0
I631,Cerebral infarction due to embolism of precerebral arteries,0,0
I632,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,0,0
I633,Cerebral infarction due to thrombosis of cerebral arteries,0,0
I634,Cerebral infarction due to embolism of cerebral arteries,0,0
I635,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,0,0
I636,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",0,0
I638,Other cerebral infarction,0,0
I639,"Cerebral infarction, unspecified",0,0
I64,"Stroke, not specified as haemorrhage or infarction",0,0
I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",0,0
I650,Occlusion and stenosis of vertebral artery,0,0
I651,Occlusion and stenosis of basilar artery,0,0
I652,Occlusion and stenosis of carotid artery,0,0
I653,Occlusion and stenosis of multiple and bilateral precerebral arteries,0,0
I658,Occlusion and stenosis of other precerebral artery,0,0
I659,Occlusion and stenosis of unspecified precerebral artery,0,0
I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",0,0
I660,Occlusion and stenosis of middle cerebral artery,0,0
I661,Occlusion and stenosis of anterior cerebral artery,0,0
I662,Occlusion and stenosis of posterior cerebral artery,0,0
I663,Occlusion and stenosis of cerebellar arteries,0,0
I664,Occlusion and stenosis of multiple and bilateral cerebral arteries,0,0
I668,Occlusion and stenosis of other cerebral artery,0,0
I669,Occlusion and stenosis of unspecified cerebral artery,0,0
I67,Other cerebrovascular diseases,0,0
I670,"Dissection of cerebral arteries, nonruptured",0,0
I671,"Cerebral aneurysm, nonruptured",0,0
I672,Cerebral atherosclerosis,0,0
I673,Progressive vascular leukoencephalopathy,0,0
I674,Hypertensive encephalopathy,0,0
I675,Moyamoya disease,0,0
I676,Nonpyogenic thrombosis of intracranial venous system,0,0
I677,"Cerebral arteritis, not elsewhere classified",0,0
I678,Other specified cerebrovascular diseases,0,0
I679,"Cerebrovascular disease, unspecified",0,0
I68,Cerebrovascular disorders in diseases classified elsewhere,0,0
I680,Cerebral amyloid angiopathy,0,0
I681,Cerebral arteritis in infectious and parasitic diseases classified elsewhere,0,0
I682,Cerebral arteritis in other diseases classified elsewhere,0,0
I688,Other cerebrovascular disorders in diseases classified elsewhere,0,0
I69,Sequelae of cerebrovascular disease,0,0
I690,Sequelae of subarachnoid haemorrhage,0,0
I691,Sequelae of intracerebral haemorrhage,0,0
I692,Sequelae of other nontraumatic intracranial haemorrhage,0,0
I693,Sequelae of cerebral infarction,0,0
I694,"Sequelae of stroke, not specified as haemorrhage or infarction",0,0
I698,Sequelae of other and unspecified cerebrovascular diseases,0,0
I70,Atherosclerosis,0,0
I700,Atherosclerosis of aorta,0,0
I701,Atherosclerosis of renal artery,0,0
I702,Atherosclerosis of arteries of extremities,0,0
I708,Atherosclerosis of other arteries,0,0
I709,Generalized and unspecified atherosclerosis,0,0
I71,Aortic aneurysm and dissection,0,0
I710,Dissection of aorta [any part],0,0
I711,"Thoracic aortic aneurysm, ruptured",0,0
I712,"Thoracic aortic aneurysm, without mention of rupture",0,0
I713,"Abdominal aortic aneurysm, ruptured",0,0
I714,"Abdominal aortic aneurysm, without mention of rupture",0,0
I715,"Thoracoabdominal aortic aneurysm, ruptured",0,0
I716,"Thoracoabdominal aortic aneurysm, without mention of rupture",0,0
I718,"Aortic aneurysm of unspecified site, ruptured",0,0
I719,"Aortic aneurysm of unspecified site, without mention of rupture",0,0
I72,Other aneurysm and dissection,0,0
I720,Aneurysm and dissection of carotid artery,0,0
I721,Aneurysm and dissection of artery of upper extremity,0,0
I722,Aneurysm and dissection of renal artery,0,0
I723,Aneurysm and dissection of iliac artery,0,0
I724,Aneurysm and dissection of artery of lower extremity,0,0
I725,Aneurysm and dissection of other precerebral arteries,0,0
I728,Aneurysm and dissection of other specified arteries,0,0
I729,Aneurysm and dissection of unspecified site,0,0
I73,Other peripheral vascular diseases,0,0
I730,Raynaud's syndrome,0,0
I731,Thromboangiitis obliterans [Buerger],0,0
I738,Other specified peripheral vascular diseases,0,0
I739,"Peripheral vascular disease, unspecified",0,0
I74,Arterial embolism and thrombosis,0,0
I740,Embolism and thrombosis of abdominal aorta,0,0
I741,Embolism and thrombosis of other and unspecified parts of aorta,0,0
I742,Embolism and thrombosis of arteries of upper extremities,0,0
I743,Embolism and thrombosis of arteries of lower extremities,0,0
I744,"Embolism and thrombosis of arteries of extremities, unspecified",0,0
I745,Embolism and thrombosis of iliac artery,0,0
I748,Embolism and thrombosis of other arteries,0,0
I749,Embolism and thrombosis of unspecified artery,0,0
I77,Other disorders of arteries and arterioles,0,0
I770,"Arteriovenous fistula, acquired",0,0
I771,Stricture of artery,0,0
I772,Rupture of artery,0,0
I773,Arterial fibromuscular dysplasia,0,0
I774,Coeliac artery compression syndrome,0,0
I775,Necrosis of artery,0,0
I776,"Arteritis, unspecified",0,0
I778,Other specified disorders of arteries and arterioles,0,0
I779,"Disorder of arteries and arterioles, unspecified",0,0
I78,Diseases of capillaries,0,0
I780,Hereditary haemorrhagic telangiectasia,0,0
I781,"Naevus, non-neoplastic",0,0
I788,Other diseases of capillaries,0,0
I789,"Disease of capillaries, unspecified",0,0
I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere",0,0
I790,Aneurysm of aorta in diseases classified elsewhere,0,0
I791,Aortitis in diseases classified elsewhere,0,0
I792,Peripheral angiopathy in diseases classified elsewhere,0,0
I798,"Other disorders of arteries, arterioles and capillaries in diseases classified elsewhere",0,0
I80,Phlebitis and thrombophlebitis,0,0
I800,Phlebitis and thrombophlebitis of superficial vessels of lower extremities,0,0
I801,Phlebitis and thrombophlebitis of femoral vein,0,0
I802,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,0,0
I803,"Phlebitis and thrombophlebitis of lower extremities, unspecified",0,0
I808,Phlebitis and thrombophlebitis of other sites,0,0
I809,Phlebitis and thrombophlebitis of unspecified site,0,0
I81,Portal vein thrombosis,0,0
I82,Other venous embolism and thrombosis,0,0
I820,Budd-Chiari syndrome,0,0
I821,Thrombophlebitis migrans,0,0
I822,Embolism and thrombosis of vena cava,0,0
I823,Embolism and thrombosis of renal vein,0,0
I828,Embolism and thrombosis of other specified veins,0,0
I829,Embolism and thrombosis of unspecified vein,0,0
I83,Varicose veins of lower extremities,0,0
I830,Varicose veins of lower extremities with ulcer,0,0
I831,Varicose veins of lower extremities with inflammation,0,0
I832,Varicose veins of lower extremities with both ulcer and inflammation,0,0
I839,Varicose veins of lower extremities without ulcer or inflammation,0,0
I85,Oesophageal varices,0,0
I850,Oesophageal varices with bleeding,0,0
I859,Oesophageal varices without bleeding,0,0
I86,Varicose veins of other sites,0,0
I860,Sublingual varices,0,0
I861,Scrotal varices,0,0
I862,Pelvic varices,0,0
I863,Vulval varices,0,0
I864,Gastric varices,0,0
I868,Varicose veins of other specified sites,0,0
I87,Other disorders of veins,0,0
I870,Postthrombotic syndrome,0,0
I871,Compression of vein,0,0
I872,Venous insufficiency (chronic)(peripheral),0,0
I878,Other specified disorders of veins,0,0
I879,"Disorder of vein, unspecified",0,0
I88,Nonspecific lymphadenitis,0,0
I880,Nonspecific mesenteric lymphadenitis,0,0
I881,"Chronic lymphadenitis, except mesenteric",0,0
I888,Other nonspecific lymphadenitis,0,0
I889,"Nonspecific lymphadenitis, unspecified",0,0
I89,Other noninfective disorders of lymphatic vessels and lymph nodes,0,0
I890,"Lymphoedema, not elsewhere classified",0,0
I891,Lymphangitis,0,0
I898,Other specified noninfective disorders of lymphatic vessels and lymph nodes,0,0
I899,"Noninfective disorder of lymphatic vessels and lymph nodes, unspecified",0,0
I95,Hypotension,0,0
I950,Idiopathic hypotension,0,0
I951,Orthostatic hypotension,0,0
I952,Hypotension due to drugs,0,0
I958,Other hypotension,0,0
I959,"Hypotension, unspecified",0,0
I97,"Postprocedural disorders of circulatory system, not elsewhere classified",0,0
I970,Postcardiotomy syndrome,0,0
I971,Other functional disturbances following cardiac surgery,0,0
I972,Postmastectomy lymphoedema syndrome,0,0
I978,"Other postprocedural disorders of circulatory system, not elsewhere classified",0,0
I979,"Postprocedural disorder of circulatory system, unspecified",0,0
I98,Other disorders of circulatory system in diseases classified elsewhere,0,0
I980,Cardiovascular syphilis,0,0
I981,Cardiovascular disorders in other infectious and parasitic diseases classified elsewhere,0,0
I982,Oesophageal varices without bleeding in diseases classified elsewhere,0,0
I983,Oesophageal varices with bleeding in diseases classified elsewhere,0,0
I988,Other specified disorders of circulatory system in diseases classified elsewhere,0,0
I99,Other and unspecified disorders of circulatory system,0,0
