comparator,outcome,analysis,adjustment,time,hr,lc,uc
gen_population,mi,mi_cens_gp,age_sex,30,2.8145821,2.2090447,3.586108
gen_population,mi,mi_cens_gp,age_sex,60,2.1075208,1.5495058,2.8664906
gen_population,mi,mi_cens_gp,age_sex,90,1.7772503,1.2351383,2.5572996
gen_population,mi,mi_cens_gp,age_sex,120,1.6052437,1.3292816,1.9384961
gen_population,aki,aki_cens_gp,age_sex,0,15.548995,14.479542,16.697437
gen_population,aki,aki_cens_gp,age_sex,30,5.2062759,4.6864357,5.7837787
gen_population,aki,aki_cens_gp,age_sex,60,4.1246529,3.6445444,4.6680083
gen_population,aki,aki_cens_gp,age_sex,90,3.6679323,3.1602137,4.2572207
gen_population,aki,aki_cens_gp,age_sex,120,3.1558301,2.9162002,3.4151511
gen_population,t2dm,t2dm,age_sex,0,9.7729836,8.2669659,11.553357
gen_population,t2dm,t2dm,age_sex,30,3.7357175,2.9476171,4.7345314
gen_population,t2dm,t2dm,age_sex,60,2.6888072,1.992137,3.6291099
gen_population,t2dm,t2dm,age_sex,90,3.7776341,2.7783158,5.1363921
gen_population,t2dm,t2dm,age_sex,120,2.5702837,2.1722522,3.0412486
